date,amount,description,category
2026-01-01,500000.0,O'quv kursi to'lovi (Sardor 100),Daromad
2026-01-01,500000.0,O'quv kursi to'lovi (Sardor 94),Daromad
2026-01-01,500000.0,O'quv kursi to'lovi (Sardor 75),Daromad
2026-01-01,500000.0,O'quv kursi to'lovi (Sardor 24),Daromad
2026-01-01,500000.0,O'quv kursi to'lovi (Sardor 73),Daromad
2026-01-01,500000.0,O'quv kursi to'lovi (Sardor 66),Daromad
2026-01-01,-300000.0,Internet (Optika),Aloqa
2026-01-02,500000.0,O'quv kursi to'lovi (Sardor 76),Daromad
2026-01-02,500000.0,O'quv kursi to'lovi (Sardor 57),Daromad
2026-01-02,500000.0,O'quv kursi to'lovi (Sardor 24),Daromad
2026-01-02,-115214.0,"Ofis xarajatlari (Suv, qog'oz, marker)",Xarajat
2026-01-03,500000.0,O'quv kursi to'lovi (Sardor 54),Daromad
2026-01-03,500000.0,O'quv kursi to'lovi (Sardor 30),Daromad
2026-01-03,500000.0,O'quv kursi to'lovi (Sardor 9),Daromad
2026-01-03,500000.0,O'quv kursi to'lovi (Sardor 25),Daromad
2026-01-03,500000.0,O'quv kursi to'lovi (Sardor 4),Daromad
2026-01-03,500000.0,O'quv kursi to'lovi (Sardor 81),Daromad
2026-01-04,500000.0,O'quv kursi to'lovi (Sardor 77),Daromad
2026-01-04,500000.0,O'quv kursi to'lovi (Sardor 46),Daromad
2026-01-04,500000.0,O'quv kursi to'lovi (Sardor 76),Daromad
2026-01-05,500000.0,O'quv kursi to'lovi (Sardor 54),Daromad
2026-01-05,500000.0,O'quv kursi to'lovi (Sardor 78),Daromad
2026-01-05,500000.0,O'quv kursi to'lovi (Sardor 23),Daromad
2026-01-05,500000.0,O'quv kursi to'lovi (Sardor 60),Daromad
2026-01-05,-6500000.0,Ofis Ijarasi (Rent),Xarajat
2026-01-06,500000.0,O'quv kursi to'lovi (Sardor 48),Daromad
2026-01-06,500000.0,O'quv kursi to'lovi (Sardor 100),Daromad
2026-01-06,500000.0,O'quv kursi to'lovi (Sardor 8),Daromad
2026-01-06,500000.0,O'quv kursi to'lovi (Sardor 48),Daromad
2026-01-07,500000.0,O'quv kursi to'lovi (Sardor 62),Daromad
2026-01-07,500000.0,O'quv kursi to'lovi (Sardor 56),Daromad
2026-01-07,500000.0,O'quv kursi to'lovi (Sardor 75),Daromad
2026-01-07,500000.0,O'quv kursi to'lovi (Sardor 50),Daromad
2026-01-08,500000.0,O'quv kursi to'lovi (Sardor 51),Daromad
2026-01-08,500000.0,O'quv kursi to'lovi (Sardor 39),Daromad
2026-01-08,500000.0,O'quv kursi to'lovi (Sardor 62),Daromad
2026-01-08,500000.0,O'quv kursi to'lovi (Sardor 36),Daromad
2026-01-08,500000.0,O'quv kursi to'lovi (Sardor 94),Daromad
2026-01-08,-114430.0,"Ofis xarajatlari (Suv, qog'oz, marker)",Xarajat
2026-01-09,500000.0,O'quv kursi to'lovi (Sardor 57),Daromad
2026-01-09,500000.0,O'quv kursi to'lovi (Sardor 16),Daromad
2026-01-09,500000.0,O'quv kursi to'lovi (Sardor 70),Daromad
